split,corpus,framework,lang,src,tp,total_sentences,total_segments
train,pcc,rst,deu,split,1634,1636,2449
dev,pcc,rst,deu,split,188,189,275
test,pcc,rst,deu,split,194,194,294
train,scidtb,dep,eng,split,2581,2584,6740
dev,scidtb,dep,eng,split,817,818,2130
test,scidtb,dep,eng,split,822,824,2116
train,pdtb,pdtb,eng,split,0,44627,0
dev,pdtb,pdtb,eng,split,0,1695,0
test,pdtb,pdtb,eng,split,0,2330,0
train,gum,rst,eng,split,9122,9168,20722
dev,gum,rst,eng,split,1200,1203,2790
test,gum,rst,eng,split,1161,1175,2740
train,rstdt,rst,eng,split,6909,6972,17646
dev,rstdt,rst,eng,split,731,739,1797
test,rstdt,rst,eng,split,968,979,2346
train,stac,sdrt,eng,split,4506,4700,9887
dev,stac,sdrt,eng,split,535,557,1154
test,stac,sdrt,eng,split,633,655,1547
train,ert,rst,eus,split,1622,1728,2785
dev,ert,rst,eus,split,381,413,677
test,ert,rst,eus,split,415,448,740
train,prstc,rst,fas,split,1793,1810,4607
dev,prstc,rst,fas,split,212,215,576
test,prstc,rst,fas,split,272,279,670
train,annodis,sdrt,fra,split,888,896,2255
dev,annodis,sdrt,fra,split,225,228,556
test,annodis,sdrt,fra,split,210,213,618
train,luna,pdtb,ita,split,0,162,0
dev,luna,pdtb,ita,split,0,29,0
test,luna,pdtb,ita,split,0,59,0
train,nldt,rst,nld,split,1219,1260,1662
dev,nldt,rst,nld,split,264,270,343
test,nldt,rst,nld,split,252,265,338
train,cstn,rst,por,split,1831,1840,4601
dev,cstn,rst,por,split,257,258,630
test,cstn,rst,por,split,137,138,306
train,rrt,rst,rus,split,16070,20176,34682
dev,rrt,rst,rus,split,1602,2224,3352
test,rrt,rst,rus,split,1679,2252,3508
train,rststb,rst,spa,split,1394,1433,2472
dev,rststb,rst,spa,split,239,239,419
test,rststb,rst,spa,split,267,268,460
train,sctb,rst,spa,split,287,300,473
dev,sctb,rst,spa,split,67,70,103
test,sctb,rst,spa,split,98,102,168
train,tdb,pdtb,tur,split,0,25146,0
dev,tdb,pdtb,tur,split,0,2994,0
test,tdb,pdtb,tur,split,0,3334,0
train,scidtb,dep,zho,split,308,308,871
dev,scidtb,dep,zho,split,103,103,301
test,scidtb,dep,zho,split,89,89,235
train,cdtb,pdtb,zho,split,0,1774,0
dev,cdtb,pdtb,zho,split,0,391,0
test,cdtb,pdtb,zho,split,0,361,0
train,gcdt,rst,zho,split,1754,1758,7470
dev,gcdt,rst,zho,split,282,283,1144
test,gcdt,rst,zho,split,286,287,1092
train,sctb,rst,zho,split,271,289,473
dev,sctb,rst,zho,split,66,72,103
test,sctb,rst,zho,split,101,112,168
dev,covdtb,dep,eng,split,1127,1130,2754
test,covdtb,dep,eng,split,1141,1145,2951
dev,tedm,pdtb,eng,split,0,140,0
test,tedm,pdtb,eng,split,0,234,0
train,crpc,pdtb,por,split,0,4315,0
dev,crpc,pdtb,por,split,0,633,0
test,crpc,pdtb,por,split,0,592,0
dev,tedm,pdtb,por,split,0,158,0
test,tedm,pdtb,por,split,0,250,0
train,tdtb,pdtb,tha,split,0,3471,0
dev,tdtb,pdtb,tha,split,0,587,0
test,tdtb,pdtb,tha,split,0,585,0
dev,tedm,pdtb,tur,split,0,139,0
test,tedm,pdtb,tur,split,0,267,0
